"店名","評価点数","口コミ件数","保存件数","ジャンル","最寄駅","予算(夜)","予算(昼)","店舗URL","住所","郵便番号","緯度","経度","電話番号","営業時間","定休日","席数","個室","禁煙喫煙","予約","受賞・百名店","駐車場","交通手段","写真URL","区分"
"参宮橋 あさや","4.34","347","34465","うなぎ","参宮橋駅","\30,000～\39,999","\30,000～\39,999","https://tabelog.com/tokyo/A1318/A131810/13289291/","東京都渋谷区代々木4-6-5 A&U 1F","1510053","35.678525037889095","139.69335728324654","","12:00 - 22:30","","8席 （カウンター8席のみ）","無","全席禁煙","予約可","Tabelog Award 2026 Silver / うなぎ 百名店 2024","無","参宮橋駅徒歩1分 参宮橋駅から38m","https://tblg.k-img.com/restaurant/images/Rvw/339635/640x640_rect_08ff77f38e778e13b490f210a80c016a.jpg","初台SC"
"傳","4.34","329","55380","創作料理","外苑前駅","\30,000～\39,999","-","https://tabelog.com/tokyo/A1306/A130603/13046855/","東京都渋谷区神宮前2-3-18 建築家会館JIA館","1500001","35.67318463870403","139.7127294343408","03-6455-5433","月・火・水・木・金・土 18:00 - 23:30 L.O. 22:30 日・祝日","日曜","","有 （4人可） 個室は個室料、1部屋4000円。","全席禁煙","予約可","Tabelog Award 2026 Silver / 創作料理・イノベーティブ 百名店 2025","無","外苑前駅から555m","https://tblg.k-img.com/restaurant/images/Rvw/78500/320x320_rect_78500033.jpg","初台SC"
"鮨 西崎","4.32","299","17240","寿司","東北沢駅","\20,000～\29,999","\15,000～\19,999","https://tabelog.com/tokyo/A1318/A131811/13270984/","東京都世田谷区北沢5-3-12 B1F","1550031","35.668916537888244","139.67147688316484","","月・火・木・金・土・日・祝前日・祝後日 18:00 - 22:30 水・祝日","不定休","12席 （メインカウンター８席 ＋ 個室カウンター４席）","有 （4人可）","全席禁煙","完全予約制","Tabelog Award 2026 Silver / 寿司 百名店 2025","無","東北沢駅から413m","https://tblg.k-img.com/restaurant/images/Rvw/277876/640x640_rect_09ad1e11f408526a9520dce994b7aa39.jpg","初台SC"
"ete","4.25","127","28702","イノベーティブ/フレンチ","代々木上原駅","\100,000～","-","https://tabelog.com/tokyo/A1318/A131811/13249143/","東京都渋谷区西原3-23-1","1510066","35.670590237891005","139.68351368317332","090-6191-4812","","","","有","全席禁煙","完全予約制","Tabelog Award 2026 Silver / 創作料理・イノベーティブ 百名店 2025","無","代々木上原駅から386m","https://tblg.k-img.com/restaurant/images/Rvw/184478/640x640_rect_bd42eab2aa4f6f83a0b80242be6950d4.jpg","初台SC"
"ボニュ","4.24","356","47555","フレンチ/ステーキ/ケーキ","参宮橋駅","\50,000～\59,999","\50,000～\59,999","https://tabelog.com/tokyo/A1304/A130401/13184186/","東京都渋谷区代々木4-22-17 クイーンズ代々木 1F","1510053","35.68126233788669","139.69128588327564","080-7811-3570","","不定休","12席 （テーブル8席・個室4席 ※1日3組限定）","有 個室指定の場合のみ20,000円","全席禁煙","完全予約制","Tabelog Award 2026 Silver / フレンチ 百名店 2025","無","JR代々木駅 徒歩10分 京王新線初台駅 徒歩6分 小田急線参宮橋駅 徒歩6分 参宮橋駅から356m","https://tblg.k-img.com/restaurant/images/Rvw/123880/320x320_rect_123880838.jpg","初台SC"
"おかしやうっちー","4.20","710","41098","ケーキ/洋菓子","北参道駅","-","\5,000～\5,999","https://tabelog.com/tokyo/A1309/A130901/13238644/","東京都渋谷区千駄ヶ谷3-27-9 ウエスト青山 1F","1510051","35.67744546869985","139.70810652438706","03-6721-0277","火・水・金・土・日 12:00 - 18:00 月・木","","4席 （お席と召し上がるお菓子は事前予約が必要です。ワンドリンク制。）","無 個室はないが、ご利用のお客様1組ずつ限定なので、ほぼ個室。1時間制。","全席禁煙","完全予約制","スイーツ 百名店 2023","無 目の前にコインパーキングあり。","東京メトロ副都心線 北参道駅 徒歩3分 JR千駄ヶ谷駅 徒歩5分 都営大江戸線 国立競技場駅 徒歩5分 北参道駅から250m","https://tblg.k-img.com/restaurant/images/Rvw/363675/640x640_rect_37f9ae1ffe7f68e0bccca7d4593d0a11.jpg","初台SC"
"樋口","4.17","212","21402","日本料理","北参道駅","\40,000～\49,999","-","https://tabelog.com/tokyo/A1306/A130601/13001215/","東京都渋谷区神宮前2-19-12","1500001","35.673489337897635","139.7101435831839","03-3402-7038","月・火・木・金・土 18:00 - 21:00 水・日・祝日","","14席 （カウンター6席、テーブル4席、個室4席）","有 （2人可、4人可） 掘り炬燵","分煙 個室利用の場合喫煙可 2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。","予約可","Tabelog Award 2026 Bronze / 日本料理 百名店 2025","無","北参道駅から680m","https://tblg.k-img.com/restaurant/images/Rvw/121876/640x640_rect_121876537.jpg","初台SC"
"炭火焼 ゆうじ","4.16","2305","213047","ホルモン/焼肉","渋谷駅","\6,000～\7,999","-","https://tabelog.com/tokyo/A1303/A130301/13001794/","東京都渋谷区宇田川町11-1 松沼ビル　１Ｆ","1500042","35.662587458705865","139.69733789424455","03-3464-6448","月・火・水・木・金・土 16:00 - 23:00 L.O. 22:30 日・祝日","","（1階カウンター、テーブル席、入口テーブル席（外）））","無","全席禁煙","予約可","Tabelog Award 2026 Bronze / 焼肉 百名店 2025","無 近くにコインパーキングあり","渋谷駅から徒歩10分ほど、東急ハンズ近く 渋谷駅から539m","https://tblg.k-img.com/restaurant/images/Rvw/122333/640x640_rect_122333171.jpg","初台SC"
"日本料理 太月","4.16","643","36797","日本料理","表参道駅","\40,000～\49,999","\10,000～\14,999","https://tabelog.com/tokyo/A1306/A130602/13160021/","東京都港区北青山3-13-1 北青山関根ビル B1F","1070061","35.6640935379034","139.7094780830895","03-6450-5991","月・火・水・木・金・土 11:30 - 14:00 L.O. 12:00 18:00 - 23:00 L.O. 21:00 日・祝日","","19席","有 （2人可、4人可、6人可、8人可）","全席禁煙","完全予約制","Tabelog Award 2026 Bronze / 日本料理 百名店 2025","無 近くのコイン・パーキング：北青山3-14-9に4台収容、3-14-7に12台収容、ほか","東京メトロ銀座線・千代田線・半蔵門線【表参道駅】徒歩５分 ※地下通路Ｂ２地上口 徒歩３分 表参道駅から300m","https://tblg.k-img.com/restaurant/images/Rvw/73691/320x320_rect_73691266.jpg","初台SC"
"ess.","4.08","165","14234","イタリアン","神泉駅","\20,000～\29,999","\15,000～\19,999","https://tabelog.com/tokyo/A1303/A130301/13302439/","東京都渋谷区神泉町13-13 ヒルズ渋谷 B1F","1500045","35.65618075500302","139.69207219051916","03-6455-1131","火・水・木・金・土 17:00 - 23:00 L.O. 料理22:00 月・日","","18席","有 着席８席","全席禁煙","予約可","","無","神泉駅から徒歩3分 神泉駅から185m","https://tblg.k-img.com/restaurant/images/Rvw/328399/640x640_rect_e57a8c969c80fb37b2d0364cf481fcdb.jpg","初台SC"
"鳥茂","4.07","2924","178372","もつ焼き","新宿駅","\8,000～\9,999","-","https://tabelog.com/tokyo/A1318/A131810/13001067/","東京都渋谷区代々木2-6-5","1510053","35.687977918690216","139.69886051449996","03-3379-5188","月・火・水・木・金・土・祝日 17:00 - 00:00 日","","82席 （カウンター22席、テーブル60席一階に10台、二階に12台換気扇が設置されているので、コロナの換気対策もバッチリです！）","無 半個室のような席はあります。","全席禁煙 店内全面禁煙に変わりました。以前は入口に灰皿がありましたが、今はそれも無くなってます。","予約可","Tabelog Award 2026 Bronze","無","JR新宿駅南口、徒歩2分。 新宿駅から285m","https://tblg.k-img.com/restaurant/images/Rvw/120998/320x320_rect_120998836.jpg","初台SC"
"らぁ麺や 嶋","4.07","2105","126040","ラーメン/つけ麺","西新宿五丁目駅","-","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130401/13247487/","東京都渋谷区本町3-41-12","1510071","35.68834184165506","139.68087413976107","","月・火・水・木・金 08:15 - 14:30 土・日・祝日","","6席 （カウンター席のみ）","無","全席禁煙","完全予約制","Tabelog Award 2026 Bronze / ラーメン 百名店 2025","無 近隣にコインパーキングあり","??都営大江戸線 西新宿五丁目駅 A2出口から徒歩5分 西新宿五丁目駅から363m","https://tblg.k-img.com/restaurant/images/Rvw/339909/640x640_rect_01fed728cae9824323e2590f8a44663f.jpg","初台SC"
"鮨 あお","4.06","338","16528","寿司","表参道駅","\30,000～\39,999","\30,000～\39,999","https://tabelog.com/tokyo/A1306/A130602/13246982/","東京都港区北青山3-10-13 FPG links OMOTESANDO B棟 2F","1070061","35.66424389870897","139.71040668425212","03-6450-5235","","日曜日","11席","有 （2人可、4人可）","全席禁煙","完全予約制","Tabelog Award 2026 Bronze / 寿司 百名店 2025","無","表参道駅B2出口より徒歩2分 246沿い紀伊国屋手前を右に入った裏手 表参道駅から217m","https://tblg.k-img.com/restaurant/images/Rvw/277874/640x640_rect_775d3a32a317dfed41fc9049e87cbae6.jpg","初台SC"
